Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
GPHB5		ZLUT1, GPB5	protein-coding gene	ENSG00000179600
GPHN		KIAA1385	protein-coding gene	ENSG00000171723
GPI		AMF, NLK	protein-coding gene	ENSG00000105220
GPIHBP1		LOC338328, GPI-HBP1	protein-coding gene	ENSG00000277494
GPKOW		T54, GPATC5, GPATCH5, Spp2, Mos2	protein-coding gene	ENSG00000068394
GPLD1			protein-coding gene	ENSG00000112293
GPM6A	GPM6		protein-coding gene	ENSG00000150625
GPM6B		M6B, MGC17150, MGC54284	protein-coding gene	ENSG00000046653
GPM6BP1			pseudogene	ENSG00000230458
GPM6BP2			pseudogene	ENSG00000236429
GPM6BP3			pseudogene	ENSG00000234121
GPN1	XAB1	NTPBP, MBDIN, ATPBD1A, RPAP4	protein-coding gene	ENSG00000198522
GPN2	ATPBD1B	FLJ10349	protein-coding gene	ENSG00000142751
GPN3	ATPBD1C	MGC14560	protein-coding gene	ENSG00000111231
GPN3P1			pseudogene	ENSG00000227465
GPNMB		NMB, HGFIN	protein-coding gene	ENSG00000136235
GPR1			protein-coding gene	ENSG00000183671
GPR1-AS	GPR1-AS1	GPR1AS	non-coding RNA	ENSG00000279220
GPR3		ACCA	protein-coding gene	ENSG00000181773
GPR4			protein-coding gene	ENSG00000177464
GPR5			other	
GPR6			protein-coding gene	ENSG00000146360
GPR11			other	
GPR12		GPCR21, PPP1R84	protein-coding gene	ENSG00000132975
GPR13			other	
GPR15			protein-coding gene	ENSG00000154165
GPR16			other	
GPR17			protein-coding gene	ENSG00000144230
GPR18			protein-coding gene	ENSG00000125245
GPR19			protein-coding gene	ENSG00000183150
GPR20			protein-coding gene	ENSG00000204882
GPR21			protein-coding gene	ENSG00000188394
GPR22			protein-coding gene	ENSG00000172209
GPR25			protein-coding gene	ENSG00000170128
GPR26			protein-coding gene	ENSG00000154478
GPR27		SREB1	protein-coding gene	ENSG00000170837
GPR28			other	
GPR31		HETER1, 12-HETER	protein-coding gene	ENSG00000120436
GPR32		RVDR1	protein-coding gene	ENSG00000142511
GPR32P1	GPR32P		pseudogene	ENSG00000269565
GPR33			protein-coding gene	ENSG00000214943
GPR34			protein-coding gene	ENSG00000171659
GPR34P			pseudogene	
GPR35			protein-coding gene	ENSG00000178623
GPR36			other	
GPR37		EDNRBL, hET(B)R-LP, PAELR	protein-coding gene	ENSG00000170775
GPR37L1		ETBR-LP-2	protein-coding gene	ENSG00000170075
GPR39			protein-coding gene	ENSG00000183840
GPR42	GPR42P	GPR41L, FFAR3L	protein-coding gene	ENSG00000126251
GPR45		PSP24, PSP24A	protein-coding gene	ENSG00000135973
GPR50		H9, Mel1c	protein-coding gene	ENSG00000102195
GPR50-AS1			non-coding RNA	ENSG00000234696
GPR52			protein-coding gene	ENSG00000203737
GPR53P		PsiGPR53, dJ271M21.8	pseudogene	ENSG00000229281
GPR55			protein-coding gene	ENSG00000135898
GPR61		BALGR	protein-coding gene	ENSG00000156097
GPR62			protein-coding gene	ENSG00000180929
GPR63		PSP24(beta), PSP24B	protein-coding gene	ENSG00000112218
GPR65		hTDAG8, TDAG8	protein-coding gene	ENSG00000140030
GPR67			other	
GPR68		OGR1	protein-coding gene	ENSG00000119714
GPR69A			other	
GPR69B			other	
GPR70		TR1	other	
GPR71		TR2	other	
GPR72			other	
GPR75		WI-31133	protein-coding gene	ENSG00000119737
GPR75-ASB3			other	ENSG00000270898
GPR78			protein-coding gene	ENSG00000155269
GPR79		GPR79P	pseudogene	ENSG00000232374
GPR82			protein-coding gene	ENSG00000171657
GPR83	GPR72		protein-coding gene	ENSG00000123901
GPR84		EX33	protein-coding gene	ENSG00000139572
GPR85		SREB2	protein-coding gene	ENSG00000164604
GPR87	GPR95		protein-coding gene	ENSG00000138271
GPR88			protein-coding gene	ENSG00000181656
GPR89A		UNQ192	protein-coding gene	ENSG00000117262
GPR89B	GPR89, GPR89C	SH120	protein-coding gene	ENSG00000188092
GPR89C			protein-coding gene	
GPR89P		C11H1.2-Lp	pseudogene	ENSG00000216915
GPR90			protein-coding gene	
GPR93			other	
GPR94		FKSG77	other	
GPR95			other	
GPR99			other	
GPR101			protein-coding gene	ENSG00000165370
GPR104			other	
GPR107		KIAA1624, RP11-88G17, FLJ20998, LUSTR1	protein-coding gene	ENSG00000148358
GPR108		LUSTR2	protein-coding gene	ENSG00000125734
GPR119		hGPCR2, GPCR2	protein-coding gene	ENSG00000147262
GPR129			other	
GPR130			protein-coding gene	
GPR132		G2A	protein-coding gene	ENSG00000183484
GPR134			protein-coding gene	
GPR135		HUMNPIIY20, PAFR	protein-coding gene	ENSG00000181619
GPR137		C11orf4, GPR137A, TM7SF1L1	protein-coding gene	ENSG00000173264
GPR137B	TM7SF1		protein-coding gene	ENSG00000077585
GPR137C		DKFZp762F0713, TM7SF1L2	protein-coding gene	ENSG00000180998
GPR139		PGR3	protein-coding gene	ENSG00000180269
GPR140			protein-coding gene	
GPR141		PGR13	protein-coding gene	ENSG00000187037
GPR141BP			pseudogene	ENSG00000283444
GPR142		PGR2	protein-coding gene	ENSG00000257008
GPR143	OA1		protein-coding gene	ENSG00000101850
GPR143P	OA1P		pseudogene	ENSG00000232583
GPR146		PGR8	protein-coding gene	ENSG00000164849
GPR148		PGR6	protein-coding gene	ENSG00000173302
GPR149		PGR10, IEDA, R35	protein-coding gene	ENSG00000174948
GPR150		PGR11	protein-coding gene	ENSG00000178015
GPR151		PGR7, GALR4	protein-coding gene	ENSG00000173250
GPR152		PGR5	protein-coding gene	ENSG00000175514
GPR153		PGR1	protein-coding gene	ENSG00000158292
GPR155		DEPDC3, DEP.7, FLJ31819, PGR22	protein-coding gene	ENSG00000163328
GPR156		PGR28, GABABL	protein-coding gene	ENSG00000175697
GPR157		FLJ12132	protein-coding gene	ENSG00000180758
GPR158		KIAA1136	protein-coding gene	ENSG00000151025
GPR158-AS1			non-coding RNA	ENSG00000233642
GPR160		GPCR150, GPCR1	protein-coding gene	ENSG00000173890
GPR160P1			pseudogene	ENSG00000203363
GPR160P2			pseudogene	ENSG00000265863
GPR161		RE2	protein-coding gene	ENSG00000143147
GPR162		A-2, GRCA	protein-coding gene	ENSG00000250510
GPR165P		PGR15, 6530406P05Rik	pseudogene	
GPR166P		PGR9	pseudogene	
GPR171		H963	protein-coding gene	ENSG00000174946
GPR173		SREB3	protein-coding gene	ENSG00000184194
GPR174		FKSG79	protein-coding gene	ENSG00000147138
GPR176		Gm1012	protein-coding gene	ENSG00000166073
GPR176-DT			non-coding RNA	ENSG00000246863
GPR179	GPR158L1	CSNB1E	protein-coding gene	ENSG00000277399
GPR180		ITR	protein-coding gene	ENSG00000152749
GPR182	ADMR	hrhAMR, G10D, AM-R	protein-coding gene	ENSG00000166856
GPR183	EBI2		protein-coding gene	ENSG00000169508
GPRACR		LncGPR107	non-coding RNA	ENSG00000196979
GPRASP1		GASP, GASP1	protein-coding gene	ENSG00000198932
GPRASP2		GASP2, FLJ37327	protein-coding gene	ENSG00000158301
GPRC5A	RAI3	RAIG1, TIG1, PEIG-1	protein-coding gene	ENSG00000013588
GPRC5B		RAIG-2	protein-coding gene	ENSG00000167191
GPRC5C		RAIG-3	protein-coding gene	ENSG00000170412
GPRC5D			protein-coding gene	ENSG00000111291
GPRC5D-AS1		RP11-392P7.6	non-coding RNA	ENSG00000247498
GPRC6A		bA86F4.3	protein-coding gene	ENSG00000173612
GPRIN1		GRIN1, KIAA1893	protein-coding gene	ENSG00000169258
GPRIN2	KIAA0514	MGC15171	protein-coding gene	ENSG00000204175
GPRIN3		GRIN3, FLJ42625	protein-coding gene	ENSG00000185477
GPRK6L			other	
GPRK7			other	
GPS1		COPS1, CSN1	protein-coding gene	ENSG00000169727
GPS2			protein-coding gene	ENSG00000132522
GPS2P1			pseudogene	ENSG00000236496
GPS2P2			pseudogene	ENSG00000230951
GPSM1		AGS3, DKFZP727I051	protein-coding gene	ENSG00000160360
GPSM2	DFNB82	LGN, Pins	protein-coding gene	ENSG00000121957
GPSM3	C6orf9	NG1, G18, G18.1a, G18.1b, G18.2, AGS4	protein-coding gene	ENSG00000213654
GPT		ALT1, GPT1	protein-coding gene	ENSG00000167701
GPT2		ALT2	protein-coding gene	ENSG00000166123
GPX1			protein-coding gene	ENSG00000233276
GPX1P1	GPXL2, GPXP1		pseudogene	ENSG00000197582
GPX1P2	GPXL1, GPXP2	GPXL2, GPXP2P	pseudogene	ENSG00000215326
GPX2		GSHPX-GI	protein-coding gene	ENSG00000176153
GPX3			protein-coding gene	ENSG00000211445
GPX4		PHGPx, MCSP	protein-coding gene	ENSG00000167468
GPX5			protein-coding gene	ENSG00000224586
GPX6	GPXP3		protein-coding gene	ENSG00000198704
GPX7		FLJ14777, GPX6, NPGPx	protein-coding gene	ENSG00000116157
GPX8		UNQ847, EPLA847	protein-coding gene	ENSG00000164294
GPXP3		GPX5p, dJ1186N24.1	pseudogene	
GRAMD1A	KIAA1533	FLJ90346	protein-coding gene	ENSG00000089351
GRAMD1B	LINC01059	KIAA1201	protein-coding gene	ENSG00000023171
GRAMD1C		DKFZp434C0328	protein-coding gene	ENSG00000178075
GRAMD2A	GRAMD2		protein-coding gene	ENSG00000175318
GRAMD2B	GRAMD3	NS3TP2, FLJ21313	protein-coding gene	ENSG00000155324
GRAMD4		KIAA0767, DIP	protein-coding gene	ENSG00000075240
GRAMD4P1			pseudogene	ENSG00000227874
GRAMD4P2			pseudogene	ENSG00000235992
GRAMD4P3			pseudogene	ENSG00000278301
GRAMD4P4			pseudogene	ENSG00000274369
GRAMD4P5			pseudogene	ENSG00000259089
GRAMD4P6			pseudogene	ENSG00000258848
GRAMD4P7			pseudogene	ENSG00000266242
GRAMD4P8			pseudogene	ENSG00000270930
GRAP			protein-coding gene	ENSG00000154016
GRAP2		Grf40, GrbX, GRBLG, GADS, Mona	protein-coding gene	ENSG00000100351
GRAPL			protein-coding gene	ENSG00000189152
GRASLND	RNF144A-AS1		non-coding RNA	ENSG00000228203
GRB2		NCKAP2	protein-coding gene	ENSG00000177885
GRB7			protein-coding gene	ENSG00000141738
GRB10			protein-coding gene	ENSG00000106070
GRB14			protein-coding gene	ENSG00000115290
GREB1		KIAA0575	protein-coding gene	ENSG00000196208
GREB1L	KIAA1772	FLJ13687, C18orf6	protein-coding gene	ENSG00000141449
GREM1	CKTSF1B1, CRAC1	DRM, gremlin, DAND2, HMPS	protein-coding gene	ENSG00000166923
GREM2		Prdc, FLJ21195, CKTSF1B2, DAND3	protein-coding gene	ENSG00000180875
GRH			other	
GRHL1	TFCP2L2	LBP-32, MGR	protein-coding gene	ENSG00000134317
GRHL2	DFNA28, TFCP2L3	FLJ13782, BOM	protein-coding gene	ENSG00000083307
GRHL3	TFCP2L4	SOM	protein-coding gene	ENSG00000158055
GRHL3-AS1			non-coding RNA	ENSG00000232298
GRHPR	GLXR	PH2	protein-coding gene	ENSG00000137106
GRIA1	GLUR1	GluA1, GLURA	protein-coding gene	ENSG00000155511
GRIA2	GLUR2	GluA2, GLURB	protein-coding gene	ENSG00000120251
GRIA3	GLUR3	GluA3, GLURC, MRX94	protein-coding gene	ENSG00000125675
GRIA4	GLUR4	GluA4, GLURD	protein-coding gene	ENSG00000152578
GRID1		GluD1, KIAA1220	protein-coding gene	ENSG00000182771
GRID1-AS1			non-coding RNA	
GRID2		GluD2, GluR-delta-2	protein-coding gene	ENSG00000152208
GRID2IP			protein-coding gene	ENSG00000215045
GRIFIN			protein-coding gene	ENSG00000275572
GRIK			other	
GRIK1	GLUR5	GluK1	protein-coding gene	ENSG00000171189
GRIK1-AS1	C21orf9, NCRNA00110, GRIK1AS, GRIK1-AS		non-coding RNA	ENSG00000174680
GRIK1-AS2	C21orf41, NCRNA00258		non-coding RNA	
GRIK2	GLUR6	GluK2, MRT6	protein-coding gene	ENSG00000164418
GRIK3		GluK3, GLUR7	protein-coding gene	ENSG00000163873
GRIK4	GRIK	GluK4, KA1	protein-coding gene	ENSG00000149403
GRIK5	GRIK2	GluK5, KA2	protein-coding gene	ENSG00000105737
GRIN1	NMDAR1	GluN1	protein-coding gene	ENSG00000176884
GRIN2A	NMDAR2A	GluN2A	protein-coding gene	ENSG00000183454
GRIN2B	NMDAR2B	GluN2B	protein-coding gene	ENSG00000273079
GRIN2C	NMDAR2C	GluN2C	protein-coding gene	ENSG00000161509
GRIN2D	NMDAR2D	GluN2D, EB11, NR2D	protein-coding gene	ENSG00000105464
GRIN3A		GluN3A	protein-coding gene	ENSG00000198785
GRIN3B		GluN3B	protein-coding gene	ENSG00000116032
GRINA	NMDARA1	HNRGW, TMBIM3, LFG1	protein-coding gene	ENSG00000178719
GRIP1			protein-coding gene	ENSG00000155974
GRIP2		KIAA1719	protein-coding gene	ENSG00000144596
GRIPAP1		GRASP-1, GRASP1, KIAA1167, MPMGp800B12492Q3, DKFZp434P0630	protein-coding gene	ENSG00000068400
GRK1	RHOK	GPRK1, RK	protein-coding gene	ENSG00000185974
GRK2	ADRBK1	BARK1	protein-coding gene	ENSG00000173020
GRK3	ADRBK2	BARK2	protein-coding gene	ENSG00000100077
GRK4	GPRK2L	GPRK4	protein-coding gene	ENSG00000125388
GRK5	GPRK5		protein-coding gene	ENSG00000198873
GRK5-IT1			non-coding RNA	ENSG00000228485
GRK6	GPRK6		protein-coding gene	ENSG00000198055
GRK6P1	GPRK6L, GPRK6P, GRK6PS		pseudogene	ENSG00000215571
GRK7	GPRK7		protein-coding gene	ENSG00000114124
GRL			other	
GRM1		GPRC1A, mGlu1, MGLUR1, PPP1R85	protein-coding gene	ENSG00000152822
GRM2		GPRC1B, mGlu2, MGLUR2	protein-coding gene	ENSG00000164082
GRM3		GPRC1C, mGlu3, MGLUR3	protein-coding gene	ENSG00000198822
GRM3-AS1			non-coding RNA	ENSG00000233073
GRM4		GPRC1D, mGlu4, MGLUR4	protein-coding gene	ENSG00000124493
GRM5		MGLUR5, GPRC1E, mGlu5, PPP1R86	protein-coding gene	ENSG00000168959
GRM5-AS1			non-coding RNA	ENSG00000255082
GRM6		GPRC1F, mGlu6, MGLUR6, CSNB1B	protein-coding gene	ENSG00000113262
GRM7		GLUR7, GPRC1G, mGlu7, MGLUR7, PPP1R87	protein-coding gene	ENSG00000196277
GRM7-AS1			non-coding RNA	ENSG00000236202
GRM7-AS2			non-coding RNA	ENSG00000237665
GRM7-AS3			non-coding RNA	ENSG00000226258
GRM8		GLUR8, GPRC1H, mGlu8, MGLUR8	protein-coding gene	ENSG00000179603
GRM8-AS1			non-coding RNA	ENSG00000236340
GRN		PCDGF, PGRN, CLN11	protein-coding gene	ENSG00000030582
GRP			protein-coding gene	ENSG00000134443
GRP78			other	
GRPEL1		FLJ25609, GrpE, hMGE	protein-coding gene	ENSG00000109519
GRPEL2		DKFZp451C205, Mt-GrpE#2, FLJ23713	protein-coding gene	ENSG00000164284
GRPEL2-AS1		RP11-394O4.4	non-coding RNA	ENSG00000253618
GRPEL2P1			pseudogene	ENSG00000233211
GRPEL2P2			pseudogene	ENSG00000225814
GRPEL2P3			pseudogene	ENSG00000230682
GRPR		BB2, BB2R	protein-coding gene	ENSG00000126010
GRSF1			protein-coding gene	ENSG00000132463
GRTP1		FLJ22474, TBC1D6	protein-coding gene	ENSG00000139835
GRTP1-AS1			non-coding RNA	ENSG00000225083
GRWD1		WDR28, GRWD, RRB1	protein-coding gene	ENSG00000105447
GRXCR1	DFNB25	PPP1R88	protein-coding gene	ENSG00000215203
GRXCR2		DFNB101	protein-coding gene	ENSG00000204928
G0S2			protein-coding gene	ENSG00000123689
GSAP	PION	LOC54103	protein-coding gene	ENSG00000186088
GSAS			other	
GSC			protein-coding gene	ENSG00000133937
GSC-DT		DIGIT	non-coding RNA	
GSC2	GSCL		protein-coding gene	ENSG00000063515
GSDMA	GSDM, GSDM1	FLJ39120	protein-coding gene	ENSG00000167914
GSDMB	GSDML	PRO2521	protein-coding gene	ENSG00000073605
GSDMC	MLZE		protein-coding gene	ENSG00000147697
GSDMD	GSDMDC1	FLJ12150, DF5L	protein-coding gene	ENSG00000104518
GSDME	DFNA5	ICERE-1	protein-coding gene	ENSG00000105928
GSE1	KIAA0182		protein-coding gene	ENSG00000131149
GSEC	ST3GAL4-AS1	DCPS-AS1, FLJ39051	non-coding RNA	ENSG00000280832
GSG1		MGC3146	protein-coding gene	ENSG00000111305
GSG1L		MGC18079, PRO19651, KTSR5831	protein-coding gene	ENSG00000169181
GSG1L2			protein-coding gene	ENSG00000214978
GSK1			other	
GSK2			other	
GSK3A			protein-coding gene	ENSG00000105723
GSK3B			protein-coding gene	ENSG00000082701
GSKIP	C14orf129		protein-coding gene	ENSG00000100744
GSL			other	
GSM1			phenotype	
GSN		DKFZp313L0718	protein-coding gene	ENSG00000148180
GSN-AS1	C9orf31	MOST2	non-coding RNA	ENSG00000235865
GSPT1		GST1, ETF3A, eRF3a	protein-coding gene	ENSG00000103342
GSPT2		eRF3b, FLJ10441	protein-coding gene	ENSG00000189369
GSR			protein-coding gene	ENSG00000104687
GSS			protein-coding gene	ENSG00000100983
GST12			other	
GSTA1			protein-coding gene	ENSG00000243955
GSTA2	GST2		protein-coding gene	ENSG00000244067
GSTA3			protein-coding gene	ENSG00000174156
GSTA4			protein-coding gene	ENSG00000170899
GSTA5			protein-coding gene	ENSG00000182793
GSTA6P	GSTAP1		pseudogene	ENSG00000223622
GSTA7P	GSTAP2	GSTAP6	pseudogene	ENSG00000237674
GSTA8P		GSTAP7	pseudogene	ENSG00000220377
GSTA9P		GSTAP4, GSTA4P	pseudogene	ENSG00000243236
GSTA10P		GSTAP2	pseudogene	ENSG00000230845
GSTA11P		GSTAP3	pseudogene	ENSG00000230375
GSTA12P		GSTAP5	pseudogene	ENSG00000217228
GSTCD		FLJ13273	protein-coding gene	ENSG00000138780
GSTCD-AS1			non-coding RNA	ENSG00000251175
GSTK1		GST13	protein-coding gene	ENSG00000197448
GSTM1	GST1	MU, H-B	protein-coding gene	ENSG00000134184
GSTM2		GST4	protein-coding gene	ENSG00000213366
GSTM2P1			pseudogene	ENSG00000218803
GSTM3		GST5	protein-coding gene	ENSG00000134202
GSTM3P1	GSTM3P	dJ984P4.2	pseudogene	ENSG00000227693
GSTM3P2			pseudogene	ENSG00000226878
GSTM4			protein-coding gene	ENSG00000168765
GSTM5			protein-coding gene	ENSG00000134201
GSTM5P1	GST1L, GSTM1L		pseudogene	ENSG00000236062
GSTO1		GSTTLp28, P28	protein-coding gene	ENSG00000148834
GSTO2			protein-coding gene	ENSG00000065621
GSTO3P	GSTO3P1		pseudogene	ENSG00000232829
GSTP1	FAEES3, GST3	GSTP	protein-coding gene	ENSG00000084207
GSTP1P1	GST3L, GSTPL, GSTPP	GSTP1P, Lnc712	pseudogene	ENSG00000257569
GSTPL			other	
GSTT1			protein-coding gene	ENSG00000277656
GSTT1-AS1		lncRNA-AS-GSTT1(1-72), lncRNA-CD244, lncRNA-BC050410	non-coding RNA	
GSTT2			protein-coding gene	ENSG00000099984
GSTT2B		GSTT2P	protein-coding gene	ENSG00000133433
GSTT4	GSTTP1	HS322B1A	protein-coding gene	ENSG00000276950
GSTTP2			pseudogene	
GSTZ1		GSTZ1-1, MAAI, MAI	protein-coding gene	ENSG00000100577
GSX1	GSH1	Gsh-1	protein-coding gene	ENSG00000169840
GSX2		Gsh2	protein-coding gene	ENSG00000180613
GTA	GGTB1		protein-coding gene	
GTBP			other	
GTDC1		FLJ11753, Hmat-Xa	protein-coding gene	ENSG00000121964
GTF2A1		TFIIA	protein-coding gene	ENSG00000165417
GTF2A1L		ALF	protein-coding gene	ENSG00000242441
GTF2A2		TFIIA, HsT18745	protein-coding gene	ENSG00000140307
GTF2B		TFIIB	protein-coding gene	ENSG00000137947
GTF2D1			other	
GTF2E1		TFIIE-A, FE	protein-coding gene	ENSG00000153767
GTF2E2		TFIIE-B, FE, TF2E2	protein-coding gene	ENSG00000197265
GTF2F1		TFIIF, BTF4, RAP74, TF2F1	protein-coding gene	ENSG00000125651
GTF2F2		TFIIF, BTF4, RAP30	protein-coding gene	ENSG00000188342
GTF2F2P1	GTF2F2L	TFIIF	pseudogene	ENSG00000251254
GTF2F2P2			pseudogene	ENSG00000233910
GTF2H1		BTF2, P62, TFIIH	protein-coding gene	ENSG00000110768
GTF2H2		BTF2, TFIIH, BTF2P44, T-BTF2P44, p44	protein-coding gene	ENSG00000145736
GTF2H2B		DKFZP686M0199	pseudogene	ENSG00000226259
GTF2H2C			protein-coding gene	ENSG00000183474
GTF2H2C_2	GTF2H2D	LOC730394	protein-coding gene	
GTF2H3		BTF2, TFIIH, P34	protein-coding gene	ENSG00000111358
GTF2H4		TFB2, TFIIH, P52	protein-coding gene	ENSG00000213780
GTF2H5	C6orf175, TTD	FLJ30544, bA120J8.2, TTD-A, TFB5, TFIIH, TTDA	protein-coding gene	ENSG00000272047
GTF2I	WBSCR6	TFII-I, BAP-135, SPIN, BTKAP1, DIWS, IB291	protein-coding gene	ENSG00000263001
GTF2IP1	WBSCR7		pseudogene	ENSG00000277053
GTF2IP2			pseudogene	ENSG00000226930
GTF2IP3			pseudogene	ENSG00000187721
GTF2IP4			pseudogene	ENSG00000233369
GTF2IP5			pseudogene	ENSG00000224316
GTF2IP6			pseudogene	ENSG00000266736
GTF2IP7			pseudogene	ENSG00000227038
GTF2IP8			pseudogene	ENSG00000276318
GTF2IP9			pseudogene	ENSG00000251451
GTF2IP10			pseudogene	
GTF2IP11			pseudogene	ENSG00000255199
GTF2IP12			pseudogene	ENSG00000283050
GTF2IP13			pseudogene	ENSG00000272556
GTF2IP14			pseudogene	ENSG00000226002
GTF2IP15			pseudogene	
GTF2IP16			pseudogene	
GTF2IP17			pseudogene	
GTF2IP18			pseudogene	
GTF2IP19			pseudogene	
GTF2IP20			pseudogene	ENSG00000272645
GTF2IP21			pseudogene	
GTF2IP22			pseudogene	ENSG00000259095
GTF2IP23			pseudogene	ENSG00000230295
GTF2IRD1	WBSCR11	MusTRD1, RBAP2, GTF3, WBSCR12, BEN, Cream1	protein-coding gene	ENSG00000006704
GTF2IRD1P1			pseudogene	ENSG00000230583
GTF2IRD2		FLJ37938, GTF2IRD2A	protein-coding gene	ENSG00000196275
GTF2IRD2B			protein-coding gene	ENSG00000174428
GTF2IRD2P1	GTF2IRD2P		pseudogene	ENSG00000214544
GTF3A		TFIIIA, AP2	protein-coding gene	ENSG00000122034
GTF3AP1			pseudogene	ENSG00000237274
GTF3AP2			pseudogene	ENSG00000258966
GTF3AP3			pseudogene	
GTF3AP4			pseudogene	
GTF3AP5			pseudogene	ENSG00000225816
GTF3AP6			pseudogene	ENSG00000229982
GTF3B			other	
GTF3BAP1	TAF3A	TAFIII134	other	
GTF3BAP2	TAF3B	TAFIII120	other	
GTF3BAP3	TAF3D	TAFIII80	other	
GTF3C1		TFIIIC220	protein-coding gene	ENSG00000077235
GTF3C2		KIAA0011, TFIIIC110	protein-coding gene	ENSG00000115207
GTF3C2-AS1			non-coding RNA	ENSG00000234945
GTF3C3		TFiiiC2-102, TFIIIC102	protein-coding gene	ENSG00000119041
GTF3C4		TFIIIC90, KAT12	protein-coding gene	ENSG00000125484
GTF3C5		TFiiiC2-63, TFIIIC63, TFIIICepsilon	protein-coding gene	ENSG00000148308
GTF3C6	C6orf51	bA397G5.3, TFIIIC35	protein-coding gene	ENSG00000155115
GTF3C6P1			pseudogene	ENSG00000215085
GTF3C6P2			pseudogene	ENSG00000213569
GTF3C6P3			pseudogene	ENSG00000270196
GTPBP1		GP-1, HSPC018	protein-coding gene	ENSG00000100226
GTPBP2			protein-coding gene	ENSG00000172432
GTPBP3		MSS1, THDF1, GTPBG3, MTGP1, FLJ14700	protein-coding gene	ENSG00000130299
GTPBP4		CRFG, NGB, FLJ10690, FLJ10686, NOG1	protein-coding gene	ENSG00000107937
GTPBP6		PGPL, FLJ20977	protein-coding gene	ENSG00000178605
GTPBP8		HSPC135	protein-coding gene	ENSG00000163607
GTPBP10		DKFZP686A10121, FLJ38242, OBGH2	protein-coding gene	ENSG00000105793
GTS			phenotype	
GTSCR1			non-coding RNA	ENSG00000263417
GTSE1		GTSE-1, B99	protein-coding gene	ENSG00000075218
GTSE1-DT	GTSE1-AS1		non-coding RNA	ENSG00000277232
GTSF1	FAM112B	FLJ32942, Cue110	protein-coding gene	ENSG00000170627
GTSF1L	C20orf65, FAM112A	dJ1028D15.4	protein-coding gene	ENSG00000124196
GUC1A2			other	
GUC1A3			other	
GUC1A4			other	
GUC1B3			other	
GUC2C			other	
GUC2D			other	
GUCA1A	GUCA, GUCA1, C6orf131	GCAP, GCAP1, COD3, dJ139D8.6, CORD14	protein-coding gene	ENSG00000048545
GUCA1B		GCAP2, RP48	protein-coding gene	ENSG00000112599
GUCA1C		GCAP3	protein-coding gene	ENSG00000138472
GUCA2			other	
GUCA2A	GUCA2	STARA	protein-coding gene	ENSG00000197273
GUCA2B			protein-coding gene	ENSG00000044012
GUCD1	C22orf13	MGC1842, LLN4	protein-coding gene	ENSG00000138867
GUCY1A1	GUC1A3, GUCY1A3	GC-SA3	protein-coding gene	ENSG00000164116
GUCY1A2	GUC1A2	GC-SA2	protein-coding gene	ENSG00000152402
GUCY1B1	GUC1B3, GUCY1B3	GC-SB3, GC-S-beta-1	protein-coding gene	ENSG00000061918
GUCY1B2		GC-SB2	pseudogene	ENSG00000123201
GUCY2C	GUC2C	STAR	protein-coding gene	ENSG00000070019
GUCY2D	CORD6, LCA, GUC2D, GUC1A4	retGC, RETGC-1, ROS-GC1, CYGD, LCA1	protein-coding gene	ENSG00000132518
GUCY2EP	GUCY2E	GC-E	pseudogene	ENSG00000204529
GUCY2F		GUC2DL, GC-F, RetGC-2, ROS-GC2, CYGF	protein-coding gene	ENSG00000101890
GUCY2GP	GUCY2G		pseudogene	ENSG00000243316
GUD			other	
GUF1		FLJ13220	protein-coding gene	ENSG00000151806
GUK1			protein-coding gene	ENSG00000143774
GUK2			other	
GULOP		GULO, scurvy	pseudogene	ENSG00000234770
GULP1		CED6, CED-6, GULP	protein-coding gene	ENSG00000144366
GUSB			protein-coding gene	ENSG00000169919
GUSBP1			pseudogene	ENSG00000183666
GUSBP2	SMAC3L2, GUSBL1	bA239L20.5, bA239L20.1, SMA3-L, bGLU-Lp, SMAC3L	pseudogene	ENSG00000241549
GUSBP3			pseudogene	ENSG00000253203
GUSBP4	C6orf216, SMAC3L, GUSBL2	SMA3-L, FLJ13549	pseudogene	ENSG00000239650
GUSBP5			pseudogene	ENSG00000236296
GUSBP6			pseudogene	ENSG00000224458
GUSBP7			pseudogene	ENSG00000274455
GUSBP8			pseudogene	ENSG00000227762
GUSBP9			pseudogene	ENSG00000215630
GUSBP10			pseudogene	ENSG00000224723
GUSBP11			pseudogene	ENSG00000228315
GUSBP12			pseudogene	ENSG00000169325
GUSBP13			pseudogene	ENSG00000198237
GUSBP14		SMA4, SMA3	pseudogene	ENSG00000253816
GUSBP15		SMA5	pseudogene	ENSG00000196302
GUSBP16			pseudogene	ENSG00000253366
GUSBP17			pseudogene	ENSG00000235558
GUSM			other	
GVINP1	GVIN1, GVIN1P	VLIG-1, FLJ13373, VLIG1	pseudogene	ENSG00000254838
GVINP2			pseudogene	ENSG00000254781
GVQW1	TIGD1L2	bA205M20.5	protein-coding gene	
GVQW3			protein-coding gene	ENSG00000179240
GXP1			other	
GXYLT1	GLT8D3	FLJ43151	protein-coding gene	ENSG00000151233
GXYLT1P1			pseudogene	ENSG00000230931
GXYLT1P2			pseudogene	ENSG00000224860
GXYLT1P3			pseudogene	ENSG00000232433
GXYLT1P4			pseudogene	ENSG00000275026
GXYLT1P5			pseudogene	ENSG00000276591
GXYLT1P6			pseudogene	ENSG00000235310
GXYLT1P7			pseudogene	ENSG00000227265
